ID,Description,Entry_ID,Attribution,Andative,Completive,Counterfactual,Etymology,Future,Habitual,Perfect,Potential,Progressive,Semantic_Domain,alt_translation1
7560,June.,sanfan,,,,,,,,,,,time,Junio.
7561,July.,santyaagu,RLC,,,,Santiago,,,,,,time,Mes de julio.
7562,Pan.,sarten,JLC;RLC,,,,sartén,,,,,,tools and implements,Sartén.
7563,Sound of water lapping on the shore.,sa,,,,,,,,,,,sound symbolism,Sonido de agua salpicando en la orilla.
7564,"Festivity, ex. party, dance, music.",saa,,,,,,,,,,,music and dance,"Celebración, ej. fiesta, baile, música."
7565,Wedding dance.,saagendaxxeela,,,,,,,,,,,music and dance,Baile de bodas.
7566,Town fair or festivities.,saagidxi,,,,,,,,,,,cultural practices,Feria o fiesta del pueblo.
7567,"New Year's Day celebration on January 1, according to the Gregorian calendar.",saakubi,,,,,,,,,,,cultural practices,Fiesta de Año Nuevo celebrada el 1o de enero según el calendario gregoriano.
7568,Carnival.,saaro7,,,,,,,,,,,cultural practices,Carnaval.
7569,Festivities in honor of St. Francis celebrated in the community of Santa María Xadani on October fourth.,saasanfransisku,,,,,San Francisco,,,,,,cultural practices,Fiesta de San Francisco que se celebra el cuatro de octubre en la comunidad de Santa María Xadani.
7570,Festivities in honor of St. Peter celebrated at the end of June or beginning of July to ask for a good rainy season.,saasanpedru,,,,,San Pedro,,,,,,cultural practices,Fiesta de San Pedro que se celebra a finales de junio o principios de julio para pedir una buena temporada de lluvias.
7571,Festivities in honor of a town's patron saint.,saaxti7bido7,,,,,,,,,,,cultural practices,Fiesta en honor al santo patrón de una comunidad.
7572,Milkfish (likely Chanos chanos).,sabalote,,,,,,,,,,,animals,Sabalote (posiblemente Chanos chanos).
7573,"Saint Vincent Ferrer, Patron Saint of Juchitán de Zaragoza, Oaxaca.",sabizendegola,VC,,,,,,,,,,names,"San Vicente Ferrer, Santo Patrón de Juchitán de Zaragoza, Oaxaca."
7574,Horse saddle padding.,saderumani7,EJG;VC,,,,,,,,,,tools and implements,Manta de montar que protege al caballo de la montura.
7575,"Price, value, importance.",saka-2,,,,,,,,,,,commerce,"Precio, valor, importancia."
7576,Sound of a train.,sakapasesakapasesakapaseu,JLC;ND,,,,,,,,,,sound symbolism,Sonido de un tren.
7577,Water snails.,sakatukachu,EJG;JLC;ND,,,,"""saca tu cacho""",,,,,,animals,"Caracol de agua, tegogolo."
7578,Sacristan.,sakrixtan,,,,,sacristán,,,,,,occupations,Sacristán.
7579,Small jump. Name that can be given to a dog.,saltin,,,,,,,,,,,names,Saltín. Nombre que se le puede dar a un perro.
7580,"Song and music style known as zandunga or sandunga, associated with the southern coast of the Isthmus of Tehuantepec.",sandunga,JLC;RLC,,,,zandunga,,,,,,music and dance,Zandunga o sandunga.
7581,"Town of Ciudad Ixtepec, Oaxaca, formerly known as Villa de San Jerónimo.",sanjeronimo,,,,,,,,,,,toponym,"Ciudad Ixtepec, Oaxaca, conocida anteriormente como Villa de San Jerónimo."
7582,Mosquito.,sankudu1,,,,,,,,,,,insects,Zancudo.
7583,"Mosquito, nickname assigned to a man named Rogelio. Sancùdu is a Spanish loanword meaning 'mosquito'.",sankudu2,,,,,,,,,,,names,"Zancudo, apodo asignado a un hombre llamado Rogelio."
7584,"Municipality of Santa María Xadani, Oaxaca.",santamaryazhadanilula7,,,,,,,,,,,toponym,"Municipio de Santa María Xadani, Oaxaca."
7585,Tapir.,santeburru,,,,,,,,,,,animals,"Danta, tapir."
7586,Male name Santiago.,santyagu,,,,,,,,,,,names,Santiago.
7587,Shoe.,sapatu,,,,,zapato,,,,,,clothing and adornment,Zapato.
7588,Women's shoe.,sapatiya,VC,,,,zapatilla,,,,,,clothing and adornment,Zapato de mujer.
7589,Measles.,sarampyon,,,,,sarampión,,,,,,wellness,Sarampión.
7590,Smallpox that causes a red rash.,sarampyonzhinya7,VC,,,,sarampión,,,,,,animals,Sarampión con sarpullido rojo.
7591,Smallpox that causes a purple rash.,sarampyonmoradu,,,,,sarampión,,,,,,wellness,Sarampión con sarpullido morado.
7592,Sardines.,sardina,EJG;ND,,,,,,,,,,animals,Sardina.
7593,"Sound of the shine of a ring, or of a sharp blade cutting meat.",sas-2,EJG,,,,,,,,,,sound symbolism,"Sonido del brillo de un anillo, o de una navaja filosa cortando carne."
7594,Sound of vegetables being peeled.,sassas,,,,,,,,,,,sound symbolism,Sonido de verduras pelándose.
7595,Sound of a person turning on the lights rapidly.,sassassassas,,,,,,,,,,,sound symbolism,Sonido de una persona prendiendo la luz rápidamente.
7596,"Name that can be given to cattle, after the town named Sayula in Spanish.",sayulla,,,,,,,,,,,names,Sayula. Nombre que se le puede dar al ganado.
7597,Male name Severiano.,seebe,,,,,,,,,,,names,Severiano.
7598,"Middle school, junior high school (grades 7th to 9th).",seku,,,,,secundaria,,,,,,life stages,Secundaria.
7599,"Fat, especially animal fat, but this may also refer to candle wax and to small skin cysts.",sebu,,,,,sebo,,,,,,substances,"Sebo, en particular el sebo animal, aunque también se refiere a la cera de las velas y los quistes blancos que salen en la piel."
7600,Eyebrow.,seja,EJG;JLC,,,,ceja,,,,,,body parts,Ceja.
7601,Center of a topographical place such as a town or a location deep in the woods.,sentru,EJG;JLC,,,,centro,,,,,,location,"Centro, ej. de un pueblo, o en el corazón del monte."
7602,"Sign, gesture with a conventionalized meaning.",senya,,,,,seña,,,,,,communication,"Seña, gesto con significado convencionalizado."
7603,Creases on the palms of the hands.,senyandaanibatana7,,,,,seña,,,,,,body parts,Arrugas de las palmas de las manos.
7604,Creases on the palms of the feet.,senyandaanibatanyee,RLC,,,,seña,,,,,,body parts,Arrugas de las palmas de los pies.
7605,Wax.,sera,EJG;ND;RLC,,,,cera,,,,,,substances,Cera.
7606,Pieces of wood the size of the circumference of a cart wheel.,sercha,,,,,cercha,,,,,,construction,Porciones de madera del tamaño de la circunferencia de la rueda de una carreta.
7607,Brain including edible beef brain.,sesu,,,,,seso,,,,,,food,"Seso, incluyendo sesos comestibles de res."
7608,"Stamp, seal.",seyu,,,,,sello,,,,,,tools and implements,Sello.
7609,Zebu cattle.,sebu-2,EJG;JLC;ND;RLC,,,,,,,,,,animals,Ganado cebú.
7610,Brush.,sepiw,,,,,cepillo,,,,,,tools and implements,Cepillo.
7611,"This lexeme describes a state prior to optimal readiness, as when a fruit is harvested before it is ripe, or a baby is born prematurely.",see,,,,,,,,,,,states,"Este lexema describe el estado de un fruto a un fruto que aún no madura, ex. el de una fruta que se corta antes de madurar, o de un bebé que nace prematuro."
7612,Hacksaw.,segeta,,,,,segueta,,,,,,tools and implements,Segueta.
7613,Second (ordinal number).,segundu,,,,,,,,,,,measure and quantity,Segundo (número ordinal).
7614,"Safety lock, safety pin.",seguru1,EJG;RLC,,,,seguro,,,,,,meronym,"Seguro, ex. de puerta de metal, o alfiler de seguridad."
7615,"Certain, possible.",seguru2,,,,,seguro,,,,,,manner,"Seguro, posible."
7616,Brain.,selebru,EJG;JLC;ND;RLC,,,,cerebro,,,,,,body parts,Cerebro.
7617,Jealous.,seloso,,,,,celoso,,,,,,emotion,Celoso.
7618,Week.,semana,,,,,semana,,,,,,time,Semana.
7619,"Coins, change, when referring to money.",sensiw,,,,,sencillo,,,,,,commerce,"Sencillo, ej. monedas o cambio de dinero."
7620,Lighter.,sendedor,,,,,encendedor,,,,,,tools and implements,Encendedor.
7621,Cent.,sentabu,EJG;ND;RLC,,,,centavo,,,,,,commerce,Centavo.
7622,"Vintage gold coin originally valued at 50 pesos in the early 1900s, and currently with a significantly higher value. These coins are used in jewelry in the Isthmus of Tehuantepec.",sentenaryu,,,,,centenario,,,,,,commerce,"Moneda de oro conocida como centenario, con valor original de 50 pesos al momento de su circulación a principios del siglo XX y que actualmente tiene un valor mucho más alto. Los centenarios se usan en la joyería de la región del Istmo de Tehuantepec."
7623,Centimeter.,sentimetru,,,,,,,,,,,measure and quantity,Centímetro.
7624,Urine and/or excrement.,serawa,EJG;RLC;VC,,,,hacer,,,,,,substances,Orín y/o excremento.
7625,Saw.,serruchu,,,,,serrucho,,,,,,tools and implements,Serrucho.
7626,"Thin, fresh beef steak that has not been salted nor air dried.",sesinaninaguudxi,VC,,,,cecina,,,,,,food,"Filete de res fresco, sin secar."
7627,"The month of September. From Spanish ""septiembre"".",setyembre,JLC;VC,,,,septiembre,,,,,,time,El mes de septiembre.
7628,Expression equivalent to 'they know them well' to describe that a person knows another so well that they can manipulate them.,si7bya7,,,,,,,,,,,communication,Expresión equivalente a 'ya le tiene medido/a' para expresar que una persona le conoce a otra tanto que sabe cómo manipularle.
7629,Expression meant to insist that someone acknowledge a responsibility (lit. acknowledge your mouth).,si7rwaa,RLC,,,,,,,,,,communication,Expresión que se utiliza para obligar a una persona a aceptar una responsabilidad (lit. reconoce tu boca).
7630,Acquired immunodeficiency syndrome (AIDS).,sida,,,,,SIDA,,,,,,wellness,Síndrome de inmunodeficiencia adquirida (SIDA).
7631,"Saddle strap, i.e. the strap that is secured around the horse's abdomen.",sinchazhya,,,,,cincha,,,,,,meronym,"Cincha de montura, es decir, la correa de la montura que se ajusta alrededor del vientre del caballo."
7632,Cindy. Name that can be given to a dog.,sindi,,,,,,,,,,,names,Sindi. Nombre que se le puede dar a un perro.
7633,"One of the highest local government positions within many Indigenous communities in Mexico, generally assigned by nomination from within the community.",sindiku,JLC;RLC,,,,síndico,,,,,,government,Síndico municipal.
7634,"Ribbon, tying strip.",sinta,EJG;JLC;RLC,,,,cinta,,,,,,clothing and adornment,"Cinta, lazo."
7635,Plot of land that allows for the construction of a 200 square foot house.,sityu,,,,,sitio,,,,,,location,Terreno para construir una casa de 20 metros cuadrados.
7636,According to.,sigun,EJG;JLC,,,,según,,,,,,communication,Según.
7637,Chisel.,sinsel,,,,,cincel,,,,,,tools and implements,Cincel.
7638,Awl.,sinseldepunta,EJG;JLC;ND;RLC,,,,cincel,,,,,,tools and implements,Punzón.
7639,Game of jacks.,siinku,,,,,,,,,,,games and toys,Juego de la matatena.
7640,Forgiveness.,siiwi,,,,,,,,,,,experience,El perdón.
7641,"Like, similar.",sika,,,,,,,,,,,manner,"Como, similar, parecido, así."
7642,Like this.,sikape7,JLC;VC,,,,,,,,,,manner,"Así, así mismo, de esta forma."
7643,"Then, at that moment.",sikasi,,,,,,,,,,,time,"Entonces, en ese momento, en el acto, en ese instante."
7644,"Like, similar.",sikaga,,,,,,,,,,,manner,"Como, similar, parecido, así."
7645,Like this.,sikaka,JLC;ND;RGL;RLC,,,,,,,,,,manner,"Así, así mismo, de esta forma."
7646,Like this.,sikakakaga,,,,,,,,,,,manner,"Así, así mismo, de esta forma."
7647,Like that.,sikake,,,,,,,,,,,manner,"De esa forma, como eso."
7648,Like this.,sikari7,,,,,,,,,,,manner,"Así, así mismo, de esta forma."
7649,"That way, over there.",sikarika7,,,,,,,,,,,location,"De aquella forma, por allá."
7650,Pretty.,sikaru,,,,,,,,,,,physical attributes,Bonito.
7651,Any which way.,sikatiika,,,,,,,,,,,manner,Como sea.
7652,"This lexeme refers to musical instruments designed based on cylinders, such as the organ and the harmonica.",silindru,,,,,cilindro,,,,,,music and dance,Este lexema se refiere a los instrumentos musicales como el órgano y la armónica diseñados a base de estructuras cilíndricas.
7653,"Sash, both for men and for women.",silindor,,,,,ceñidor,,,,,,clothing and adornment,"Ceñidor, tanto de hombres como de mujeres."
7654,Cement.,simentu,,,,,cemento,,,,,,substances,Cemento.
7655,Without.,sin,,,,,sin,,,,,,measure and quantity,Sin.
7656,Belt.,sinturon,,,,,cinturón,,,,,,clothing and adornment,Cinturón.
7657,Bolt cutter.,sisaya,,,,,cizalla,,,,,,tools and implements,Cizalla.
7658,Light (i.e. not heavy).,sisi-2,,,,,,,,,,,manner,"Liviano, ligero."
7659,Expression that describes a baby who looks around all over the place as if curious.,sisisisilu,EJG;JLC,,,,,,,,,,manner,Expresión que describe a un bebé que mira para todos lados.
7660,"Ladder, staircase.",skalera,EJG;JLC;ND,,,,escalera,,,,,,construction,Escalera.
7661,Step of a staircase or ladder.,skalerawiini,,,,,escalera,,,,,,meronym,Escalón.
7662,Corner.,skina,,,,,esquina,,,,,,location,Esquina.
7663,Latrine.,skusadu,,,,,,,,,,,location,Letrina.
7664,School.,skwela,,,,,escuela,,,,,,location,Escuela.
7665,Tall.,so7,,,,,,,,,,,size,Alto.
7666,"Very, very tall, in relation to a person.",so7mbaaya,,,,,,,,,,,size,"Muy, muy alto, refiriéndose a una persona."
7667,Black vulture.,so7pe,,,,,,,,,,,animals,Zopilote.
7668,Type of vulture that seems bald and is bigger than others.,so7peikeraa,,,,,,,,,,,animals,Zopilote que es pelón y de tamaño más grande que otros.
7669,Type of vulture known in Spanish as zopilote rey (possibly Sarcoramphus papa).,so7pewela,,,,,,,,,,,animals,Zopilote rey (posiblemente Sarcoramphus papa).
7670,Music played in the context of the death of a person.,songe7tu,EJG;JLC;ND;RGL;RLC,,,,son,,,,,,music and dance,Música que se toca en torno al deceso de una persona.
7671,Music played when picking up the person who will be the godmother at a baptism or a wedding.,sonmadrina,EJG;JLC;RGL;RLC,,,,son,,,,,,music and dance,Música que se toca para ir a traer a la madrina de bautizo o de boda.
7672,"Musical piece played at weddings specifically for a dance in which women carry a clay pitcher on their heads. Eventually, the pitchers are meant to be broken.",sonmedyuzhiga,,,,,son,,,,,,music and dance,"Son que se toca para bailar el baile de cantarito durante las bodas. En este baile, las mujeres llevan un cantarito en la cabeza. Al final, los cantaritos se deberán romper."
7673,Dance music.,sonridxeka7,,,,,son,,,,,,music and dance,Música para bailar.
7674,Music played specifically during bullfights.,sontoro,,,,,son,,,,,,music and dance,Música típica de las corridas de toros.
7675,"Regional style of music, ex. the song known as Zandunga.",sonyaa,,,,,son,,,,,,music and dance,"Son regional, ej. la Zandunga."
7676,"Soup. By extension, soaked.",sopa,EJG,,,,sopa,,,,,,food,"Sopa. Por extensión, empapado."
7677,Female name Sodelva.,so7-2,,,,,,,,,,,names,Sodelva.
7678,Foreman.,sobrestante,,,,,sobrestante,,,,,,occupations,"Sobrestante, capataz."
7679,Soldier.,soldadu,EJG;JLC;RLC,,,,soldado,,,,,,occupations,Soldado.
7680,Came on its own. Name that can be given to a dog.,solobino,,,,,sólo,,,,,,names,Solovino. Nombre que se le puede dar a un perro.
7681,Buzzard. Name that can be given to cattle.,sopilote,,,,,,,,,,,names,Zopilote. Nombre que se le puede dar al ganado.
7682,Northern mockingbird (Mimus polyglottos).,sosonkle,EJG;VC,,,,centzuntli,,,,,,animals,"Cenzontle, sinsonte (Mimus polyglottos)."
7683,"Mirror, glass, crystal.",speju,,,,,espejo,,,,,,tools and implements,"Espejo, vidrio, cristal."
7684,Spur.,spwela,,,,,espuela,,,,,,tools and implements,Espuela.
7685,Sound of a rocket.,ssspompom,,,,,,,,,,,sound symbolism,Sonido de un cohete.
7686,Tin (the metal itself).,stanyu,EJG,,,,estaño,,,,,,substances,Estaño.
7687,Estuary.,steru,,,,,estero,,,,,,bodies of water,Estero.
7688,Stew.,stojadu,,,,,estofado,,,,,,food,Estofado.
7689,Splinter.,stya,,,,,astilla,,,,,,substances,Astilla.
7690,Deep.,su,,,,,,,,,,,size,Hondo.
7691,"Reptile that is about the size of an iguana, but is brown and white in color and has a crest. Several equivalents in Spanish were documented but none could be verified. They are listed here to motivate further research: querreque, tetete, pasarrío, anolis de cresta, basilisco.",sumbidxi,,,,,,,,,,,animals,"Reptil de tamaño similar al de la iguana, de color café con blanco, y con cresta. Se documentaron varios nombres en castellano, ninguno de los cuales se pudo verificar, pero se incluyen aquí para motivar mayor investigación: querreque, tetete, pasarrío, anolis de cresta, basilisco."
7692,"Sound of a mosquito, or of a tensed rope.",sum-2,,,,,,,,,,,sound symbolism,"Sonido de un mosquito, o de una cuerda tensada."
7693,"Beating, thrashing.",sunda,,,,,sonda,,,,,,experience,"Tunda, paliza."
7694,Trap (in plumbing).,sufon,,,,,sifón,,,,,,tools and implements,Sifón.
7695,Vigorous massage.,subada,JLC;RLC,,,,sobada,,,,,,experience,Sobada.
7696,Woman who is no longer a virgin.,sultera,EJG;JLC;RLC,,,,soltera,,,,,,social categories,Mujer que ya no es virgen.
